Observation;N_Sp;Specie;Germination response ;Fruit type;Seed dispersal mechanism ;Seed storage behavior;Seed dormancy;Ecological guild of the species;Fruit width (cm) ;Fruit length (cm);Seed mass (g);Seed length (cm) ;Seed width (cm)
4;Sp16;Piptadenia uliginosa;Sensitive;Legume;Zoochory;Orthodox;Dormant;Heliophyte;1.4;10.3;0.879;0.5;0.5
5;Sp16;Piptadenia uliginosa;Sensitive;Legume;Zoochory;Orthodox;Dormant;Heliophyte;1.4;9.4;0.879;0.6;0.4
6;Sp16;Piptadenia uliginosa;Sensitive;Legume;Zoochory;Orthodox;Dormant;Heliophyte;1.4;11.1;0.879;0.7;0.4
7;Sp16;Piptadenia uliginosa;Sensitive;Legume;Zoochory;Orthodox;Dormant;Heliophyte;1.3;13;0.879;0.6;0.5
8;Sp16;Piptadenia uliginosa;Sensitive;Legume;Zoochory;Orthodox;Dormant;Heliophyte;1.3;12;0.879;0.6;0.6
9;Sp16;Piptadenia uliginosa;Sensitive;Legume;Zoochory;Orthodox;Dormant;Heliophyte;1.4;12.8;0.879;0.7;0.7
10;Sp16;Piptadenia uliginosa;Sensitive;Legume;Zoochory;Orthodox;Dormant;Heliophyte;1.7;11.7;0.879;0.5;0.5
11;Sp16;Piptadenia uliginosa;Sensitive;Legume;Zoochory;Orthodox;Dormant;Heliophyte;1.5;11;0.879;0.4;0.4
12;Sp16;Piptadenia uliginosa;Sensitive;Legume;Zoochory;Orthodox;Dormant;Heliophyte;1.7;12;0.879;0.3;0.5
1;Sp18;Triplaris melaenodendron;Sensitive;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.9;5.5;2.08;0.7;1.1
2;Sp18;Triplaris melaenodendron;Sensitive;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.8;5;2.08;0.7;1.1
3;Sp18;Triplaris melaenodendron;Sensitive;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.7;4.8;2.08;0.7;1.1
4;Sp18;Triplaris melaenodendron;Sensitive;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;1.1;4.9;2.08;0.7;1.1
5;Sp18;Triplaris melaenodendron;Sensitive;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;1;4.7;2.08;0.7;1.1
6;Sp18;Triplaris melaenodendron;Sensitive;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.9;5.2;2.08;0.7;1.1
7;Sp18;Triplaris melaenodendron;Sensitive;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.8;5.6;2.08;0.7;1.1
8;Sp18;Triplaris melaenodendron;Sensitive;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.7;4;2.08;0.7;1.1
9;Sp18;Triplaris melaenodendron;Sensitive;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.9;3.5;2.08;0.7;1.1
10;Sp18;Triplaris melaenodendron;Sensitive;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.5;3;2.08;0.7;1.1
11;Sp18;Triplaris melaenodendron;Sensitive;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.6;2.8;2.08;0.7;1.1
12;Sp18;Triplaris melaenodendron;Sensitive;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.6;2.5;2.08;0.7;1.1
13;Sp18;Triplaris melaenodendron;Sensitive;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.5;2;2.08;0.7;1.1
14;Sp18;Triplaris melaenodendron;Sensitive;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.5;3.5;2.08;0.7;1.1
15;Sp18;Triplaris melaenodendron;Sensitive;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;1.1;5;2.08;0.7;1.1
